,Year,Tm,2ndTeam
0,2000,ATL,1
1,2000,BAL,3
2,2000,BUF,2
3,2000,DEN,1
4,2000,DET,1
5,2000,IND,3
6,2000,MIA,1
7,2000,MIN,1
8,2000,NOR,1
9,2000,NYG,2
10,2000,NYJ,2
11,2000,OAK,2
12,2000,PHI,1
13,2000,STL,1
14,2000,TEN,3
15,2000,WAS,1
16,2001,BAL,2
17,2001,CHI,1
18,2001,DEN,2
19,2001,GNB,2
20,2001,IND,1
21,2001,MIA,3
22,2001,NOR,1
23,2001,NYJ,1
24,2001,OAK,1
25,2001,PHI,2
26,2001,PIT,2
27,2001,SDG,1
28,2001,SFO,2
29,2001,STL,2
30,2001,TAM,2
31,2001,WAS,1
32,2002,ATL,1
33,2002,BUF,2
34,2002,DAL,1
35,2002,GNB,2
36,2002,KAN,2
37,2002,MIN,1
38,2002,NYG,1
39,2002,NYJ,1
40,2002,OAK,1
41,2002,PHI,4
42,2002,PIT,1
43,2002,SDG,2
44,2002,SFO,2
45,2002,TAM,2
46,2002,TEN,1
47,2003,BAL,2
48,2003,CHI,1
49,2003,CIN,2
50,2003,DAL,2
51,2003,GNB,1
52,2003,IND,2
53,2003,JAX,1
54,2003,MIA,1
55,2003,MIN,1
56,2003,NWE,1
57,2003,PIT,2
58,2003,SDG,1
59,2003,SFO,2
60,2003,TAM,2
61,2003,TEN,1
62,2003,WAS,2
63,2004,ARI,1
64,2004,ATL,2
65,2004,BAL,2
66,2004,BUF,1
67,2004,DET,1
68,2004,IND,2
69,2004,KAN,3
70,2004,NWE,2
71,2004,NYJ,1
72,2004,PIT,3
73,2004,SDG,2
74,2004,SEA,2
75,2005,ATL,1
76,2005,CHI,4
77,2005,CIN,1
78,2005,IND,2
79,2005,JAX,1
80,2005,KAN,3
81,2005,MIA,1
82,2005,MIN,1
83,2005,NWE,1
84,2005,NYG,1
85,2005,OAK,1
86,2005,PIT,1
87,2005,SDG,2
88,2005,WAS,2
89,2006,ARI,1
90,2006,BAL,3
91,2006,BUF,1
92,2006,CHI,1
93,2006,DAL,1
94,2006,DEN,1
95,2006,GNB,1
96,2006,HOU,1
97,2006,IND,2
98,2006,JAX,1
99,2006,KAN,2
100,2006,MIN,1
101,2006,NOR,1
102,2006,NWE,1
103,2006,NYJ,1
104,2006,OAK,1
105,2006,SEA,1
106,2006,SFO,1
107,2006,STL,2
108,2006,TAM,1
109,2007,BUF,1
110,2007,CLE,1
111,2007,DAL,2
112,2007,DEN,1
113,2007,GNB,4
114,2007,HOU,2
115,2007,IND,1
116,2007,JAX,1
117,2007,KAN,1
118,2007,MIN,4
119,2007,NWE,4
120,2007,PIT,2
121,2007,SDG,1
122,2007,WAS,1
123,2008,ARI,1
124,2008,ATL,1
125,2008,BAL,2
126,2008,BUF,1
127,2008,CAR,3
128,2008,CLE,1
129,2008,DAL,1
130,2008,DEN,1
131,2008,GNB,2
132,2008,MIA,1
133,2008,MIN,1
134,2008,NOR,1
135,2008,NWE,1
136,2008,NYG,3
137,2008,NYJ,2
138,2008,PHI,1
139,2008,PIT,1
140,2008,SDG,1
141,2008,SEA,1
142,2008,SFO,1
143,2008,TEN,1
144,2008,WAS,1
145,2009,ARI,2
146,2009,BAL,4
147,2009,CAR,2
148,2009,CHI,1
149,2009,CIN,1
150,2009,DAL,1
151,2009,DEN,1
152,2009,GNB,1
153,2009,IND,1
154,2009,MIA,1
155,2009,NOR,1
156,2009,NWE,1
157,2009,NYJ,1
158,2009,OAK,1
159,2009,PHI,2
160,2009,PIT,2
161,2009,SDG,2
162,2009,STL,1
163,2009,TEN,1
164,2010,ATL,2
165,2010,BAL,1
166,2010,BUF,1
167,2010,CHI,2
168,2010,DAL,1
169,2010,DEN,1
170,2010,DET,1
171,2010,GNB,2
172,2010,KAN,1
173,2010,MIA,1
174,2010,MIN,1
175,2010,NOR,3
176,2010,NWE,3
177,2010,NYG,4
178,2010,OAK,1
179,2010,PHI,2
180,2010,PIT,1
181,2010,SDG,2
182,2010,TEN,1
183,2011,ARI,1
184,2011,BAL,3
185,2011,CAR,1
186,2011,CIN,1
187,2011,DEN,1
188,2011,GNB,1
189,2011,HOU,4
190,2011,KAN,1
191,2011,NOR,2
192,2011,NWE,2
193,2011,NYG,1
194,2011,NYJ,1
195,2011,OAK,1
196,2011,PHI,1
197,2011,SEA,1
198,2011,SFO,2
199,2011,WAS,1
200,2012,ARI,1
201,2012,BAL,2
202,2012,BUF,1
203,2012,CHI,2
204,2012,CIN,1
205,2012,CLE,1
206,2012,DAL,2
207,2012,DEN,1
208,2012,DET,1
209,2012,GNB,2
210,2012,HOU,1
211,2012,KAN,1
212,2012,MIN,2
213,2012,NWE,1
214,2012,PIT,1
215,2012,SDG,1
216,2012,SFO,3
217,2012,WAS,2
218,2013,ARI,1
219,2013,BUF,2
220,2013,CAR,1
221,2013,CIN,2
222,2013,CLE,3
223,2013,DAL,1
224,2013,DEN,1
225,2013,GNB,2
226,2013,KAN,2
227,2013,MIN,1
228,2013,NOR,1
229,2013,NWE,3
230,2013,NYG,1
231,2013,NYJ,1
232,2013,OAK,1
233,2013,PIT,1
234,2013,SDG,1
235,2013,SEA,1
236,2013,SFO,4
237,2013,TEN,2
238,2014,ARI,1
239,2014,BAL,1
240,2014,CHI,1
241,2014,CIN,1
242,2014,DAL,2
243,2014,DEN,3
244,2014,DET,2
245,2014,GNB,2
246,2014,KAN,1
247,2014,MIA,2
248,2014,PHI,3
249,2014,PIT,1
250,2014,SEA,2
251,2014,TAM,1
252,2015,ARI,2
253,2015,ATL,2
254,2015,CAR,2
255,2015,CIN,1
256,2015,DAL,3
257,2015,DEN,1
258,2015,DET,1
259,2015,GNB,1
260,2015,HOU,1
261,2015,KAN,2
262,2015,NWE,1
263,2015,NYG,1
264,2015,NYJ,2
265,2015,OAK,1
266,2015,PHI,1
267,2015,SEA,2
268,2015,STL,1
269,2015,WAS,1
270,2016,ARI,1
271,2016,ATL,1
272,2016,BAL,3
273,2016,BUF,2
274,2016,CAR,2
275,2016,GNB,2
276,2016,HOU,3
277,2016,KAN,1
278,2016,LAR,1
279,2016,MIA,2
280,2016,NWE,5
281,2016,NYG,4
282,2016,PHI,1
283,2016,PIT,2
284,2016,SDG,1
285,2016,TAM,3
286,2017,ATL,2
287,2017,BAL,1
288,2017,BUF,1
289,2017,CAR,1
290,2017,DAL,2
291,2017,DEN,1
292,2017,GNB,1
293,2017,JAX,3
294,2017,KAN,2
295,2017,LAC,1
296,2017,LAR,1
297,2017,MIN,3
298,2017,NOR,1
299,2017,PHI,2
300,2017,PIT,1
301,2017,SEA,1
302,2018,ATL,1
303,2018,BAL,2
304,2018,CAR,1
305,2018,CLE,2
306,2018,DAL,3
307,2018,DEN,1
308,2018,HOU,1
309,2018,KAN,2
310,2018,LAC,2
311,2018,MIA,1
312,2018,MIN,2
313,2018,NOR,4
314,2018,NYJ,1
315,2018,PIT,1
316,2018,SEA,1
317,2018,SFO,1
318,2019,2TM,1
319,2019,ATL,2
320,2019,BAL,1
321,2019,CAR,1
322,2019,CLE,1
323,2019,DEN,1
324,2019,GNB,1
325,2019,IND,1
326,2019,KAN,3
327,2019,NOR,1
328,2019,NWE,1
329,2019,OAK,1
330,2019,PIT,1
331,2019,SEA,1
332,2019,SFO,2
333,2019,TAM,2
334,2019,TEN,1
335,2020,ARI,1
336,2020,ATL,1
337,2020,BUF,3
338,2020,CHI,2
339,2020,CIN,1
340,2020,CLE,2
341,2020,DEN,1
342,2020,DET,1
343,2020,GNB,2
344,2020,IND,1
345,2020,KAN,2
346,2020,MIN,1
347,2020,NOR,3
348,2020,PIT,1
349,2020,SEA,2
350,2020,TAM,2
351,2021,ARI,1
352,2021,ATL,1
353,2021,BUF,1
354,2021,CHI,2
355,2021,CIN,1
356,2021,CLE,1
357,2021,DEN,1
358,2021,IND,1
359,2021,KAN,2
360,2021,LAC,2
361,2021,LVR,1
362,2021,MIN,1
363,2021,NOR,1
364,2021,NWE,1
365,2021,PHI,1
366,2021,SEA,1
367,2021,TAM,1
368,2021,TEN,1
369,2022,ATL,1
370,2022,BUF,1
371,2022,CLE,2
372,2022,DAL,1
373,2022,DEN,1
374,2022,GNB,1
375,2022,KAN,2
376,2022,LAC,1
377,2022,LAR,1
378,2022,NOR,1
379,2022,NYG,2
380,2022,NYJ,1
381,2022,PHI,4
382,2022,SFO,1
383,2022,TAM,1
384,2022,TEN,1
