,Player,Pos,Year,Tm
1,Jake Plummer,QB,2000,ARI
2,Michael Pittman,RB,2000,ARI
3,Joel Makovicka,FB,2000,ARI
4,David Boston,WR,2000,ARI
5,Frank Sanders,WR,2000,ARI
6,Terry Hardy,TE,2000,ARI
1,Chris Chandler,QB,2000,ATL
2,Jamal Anderson,RB,2000,ATL
3,Bob Christian,FB,2000,ATL
4,Shawn Jefferson,WR,2000,ATL
5,Terance Mathis,WR,2000,ATL
6,Reggie Kelly,TE,2000,ATL
1,Trent Dilfer,QB,2000,BAL
2,Jamal Lewis,RB,2000,BAL
3,Qadry Ismail,WR,2000,BAL
4,Patrick Johnson,WR,2000,BAL
5,Travis Taylor,WR,2000,BAL
6,Shannon Sharpe,TE,2000,BAL
1,Rob Johnson,QB,2000,BUF
2,Sammy Morris,RB,2000,BUF
3,Eric Moulds,WR,2000,BUF
4,Peerless Price,WR,2000,BUF
5,Sheldon Jackson,TE,2000,BUF
6,Jay Riemersma,TE,2000,BUF
1,Steve Beuerlein,QB,2000,CAR
2,Tim Biakabutuka,RB,2000,CAR
3,William Floyd,FB,2000,CAR
4,Donald Hayes,WR,2000,CAR
5,Muhsin Muhammad,WR,2000,CAR
6,Wesley Walls,TE,2000,CAR
1,Cade McNown,QB,2000,CHI
2,James Allen,RB,2000,CHI
3,Curtis Enis,FB,2000,CHI
4,Eddie Kennison,WR,2000,CHI
5,Marcus Robinson,WR,2000,CHI
6,Kaseem Sinceno,TE,2000,CHI
1,Akili Smith,QB,2000,CIN
2,Corey Dillon,RB,2000,CIN
3,Peter Warrick,WR,2000,CIN
4,Craig Yeast,WR,2000,CIN
5,Marco Battaglia,TE,2000,CIN
6,Tony McGee,TE,2000,CIN
1,Doug Pederson,QB,2000,CLE
2,Travis Prentice,RB,2000,CLE
3,Marc Edwards,FB,2000,CLE
4,Kevin Johnson,WR,2000,CLE
5,David Patten,WR,2000,CLE
6,Mark Campbell,TE,2000,CLE
1,Troy Aikman,QB,2000,DAL
2,Emmitt Smith,RB,2000,DAL
3,Robert Thomas,FB,2000,DAL
4,Rocket Ismail,WR,2000,DAL
5,James McKnight,WR,2000,DAL
6,David LaFleur,TE,2000,DAL
1,Brian Griese,QB,2000,DEN
2,Mike Anderson,RB,2000,DEN
3,Howard Griffith,FB,2000,DEN
4,Ed McCaffrey,WR,2000,DEN
5,Rod Smith,WR,2000,DEN
6,Dwayne Carswell,TE,2000,DEN
1,Charlie Batch,QB,2000,DET
2,James Stewart,RB,2000,DET
3,Cory Schlesinger,FB,2000,DET
4,Herman Moore,WR,2000,DET
5,Johnnie Morton,WR,2000,DET
6,David Sloan,TE,2000,DET
1,Brett Favre,QB,2000,GNB
2,Ahman Green,RB,2000,GNB
3,Antonio Freeman,WR,2000,GNB
4,Bill Schroeder,WR,2000,GNB
5,Tyrone Davis,TE,2000,GNB
